model,sampler,nrmse,nrmse_mad,posterior_contraction,posterior_contraction_mad,posterior_calibration_error,posterior_calibration_error_mad,count_nan_data,c2st,rank,family
consistency_model,ode,0.11915608359760596,0.0017956702198699025,0.7269164158556845,0.026702973912551997,0.08747149122807019,0.040604897660818706,0.0,0.5399999916553497,13.0,Consistency Model
stable_consistency_model,ode,0.1847952280540528,0.0033114549569387263,0.22936709957761034,0.03750587697462237,0.1585524488304093,0.06879221491228069,0.0,0.5789999961853027,15.0,Consistency Model
diffusion_cosine_v,ode,0.12278185391875521,0.002554340710307092,0.7005351560957133,0.022749476547551693,0.049165752923976604,0.020050255847953218,0.0,0.5339999943971634,3.0,Diffusion
diffusion_edm_vp,sde,0.12707559161915108,0.002642872338541386,0.6728634076768577,0.028870679962573878,0.04667415935672515,0.01884283625730994,0.0,0.5139999985694885,4.0,Diffusion
diffusion_cosine_F,sde,0.12138536953285603,0.0024278880498595076,0.7031903336716292,0.01973640174187235,0.05752558479532164,0.0249141081871345,0.0,0.5549999922513962,5.0,Diffusion
diffusion_cosine_v,sde,0.12126850893130646,0.002499614914663365,0.7021340122040705,0.02035813071614849,0.05788687865497076,0.024128654970760232,0.0,0.5419999957084656,6.0,Diffusion
diffusion_edm_vp,ode,0.13479530293470482,0.002815281842514921,0.6472032314852183,0.030326758555687495,0.04786348684210526,0.018845942982456135,0.0,0.5439999997615814,7.0,Diffusion
diffusion_cosine_F,ode,0.1273371845767029,0.002625428649412309,0.6884511299102645,0.02383857573449833,0.06185800438596491,0.024615131578947368,0.0,0.5320000052452087,8.0,Diffusion
diffusion_edm_vp_ema,sde,0.14588448001840804,0.007235879069684094,0.6396640013540481,0.056559474788627426,0.04903399122807018,0.020409539473684204,0.0,0.5499999970197678,9.0,Diffusion
diffusion_edm_vp_ema,ode,0.14536751802741577,0.006578437125448739,0.6235705385209833,0.051416728002854795,0.05089144736842105,0.02006377923976608,0.0,0.5199999958276749,10.0,Diffusion
diffusion_edm_ve,sde,0.10984188281247492,0.0017768447269117262,0.8442383050612959,0.014127241128315855,0.09086330409356727,0.03395522660818713,0.0,0.6049999892711639,12.0,Diffusion
diffusion_edm_ve,ode,0.10898406045726491,0.0016897624251409641,0.868264248068089,0.012177122035031112,0.1436030701754386,0.05268932748538012,0.0,0.6890000104904175,14.0,Diffusion
diffusion_cosine_noise,ode,0.92840115950638,,0.2638179227921358,,0.0640032894736842,0.02517799707602339,14.0,0.5100200772285461,17.0,Diffusion
diffusion_cosine_noise,sde,1.0833121430598815,,0.29904682652796233,,0.17768183479532162,0.10361769005847955,11.5,0.5230000019073486,18.0,Diffusion
ot_flow_matching,ode,0.11816854224448936,0.002085085235054819,0.7056663148310552,0.025663804640602944,0.0462766812865497,0.020931652046783624,0.0,0.5340000092983246,1.0,Flow Matching
flow_matching,ode,0.11948186062853462,0.0018922924158751892,0.7056290108276142,0.02596381998430729,0.048348501461988304,0.022760782163742686,0.0,0.5359999984502792,2.0,Flow Matching
flow_matching_edm,ode,0.1307243250587763,0.009059393812116678,0.6528366222585467,0.059345524961586946,0.06667763157894736,0.027632309941520463,1.0,0.5439999997615814,11.0,Flow Matching
MCMC,MCMC,0.1235028259386098,0.0002404461022402,0.9999821209677984,1.6219472386737168e-05,0.4268670309653917,0.2166890358866199,,0.8886463046073914,16.0,MCMC
